address_@type,address_addressRegion,@type,description,address_postalCode,telephone,address_addressLocality,name,image,address_streetAddress,@context
PostalAddress,CA,LocalBusiness,"Hours:Friday5:00pm - 7:00pmFor more information, please call. ",91706,(626) 671-0090,Baldwin Park,Shepherd's Pantry - Baldwin Park,https://www.foodpantries.org/gallery/39049_ca_91706_shepherds-pantry-baldwin-park_tmv.png,13020 Francissquito Ave,https://schema.org
PostalAddress,CA,LocalBusiness,"Food Pantry. Provide people with food assistance. Each person who comes seeking help sees a counselor who assesses their needs and arranges for their food allotment, as well as offering access to our extensive referral program. Pantry Hours:Tuesday5:00pm - 7:00pmHomeless Food DistributionMonday, Wednesday, Friday11:00am - 12:00pmFor more information, please call....",91706,(626) 305-0392,Irwindale,Shepherd's Pantry - Irwindale Distribution Center,https://www.foodpantries.org/gallery/no_photo_8.jpg,1418 Arrow Highway,https://schema.org
PostalAddress,CA,LocalBusiness,Hours:1st &amp; 3rd Friday of the month 1:00pm - 3:00pm 1st &amp; 3rd Sunday of the month 1:00pm - 3:00pm Bread Distribution HourThursday 10:00am - 1:00pm Serves: La Puente residents and all surrounding cities...,91746,(626) 917-8814,La Puente,La Puente Church of Christ,https://www.foodpantries.org/gallery/no_photo_9.jpg,15124 Amar Rd,https://schema.org
PostalAddress,CA,LocalBusiness,"Distributes groceries.Hours:Tuesday and Thursday (except holidays)For more information, please call....",91731,(626) 579-2190,El Monte,Our Saviour Center Food Pantry,https://www.foodpantries.org/gallery/no_photo_6.jpg,4368 Santa Anita Ave,https://schema.org
PostalAddress,CA,LocalBusiness,"Hours:Tuesday and Thursday 10:00am to 1:00pmUnless it is a holiday.  Requirements: Picture ID requested.For more information, please call. ...",91731,(626) 579-2190,El Monte,Our Saviour Center Food Pantry,https://www.foodpantries.org/gallery/no_photo_1.jpg,4368 Santa Anita Ave.,https://schema.org
PostalAddress,CA,LocalBusiness,"Distribution Hours:Saturday 7:00am - 9:00am First come, first serve basis. No ID, proof of income, utility bill required. We are on the corner of Hollenbeck Avenue and Rowland Street. Ample parking available behind the building. Accessible driveway is on the north side of Rowland Street. Gate will be open behind the building. Clients receive an assorted box of groceries.  Donations are welcome 24/7, 365 days a year. Hablamos EspaÃ±ol.Hablamos EspaÃ±ol.For more information, please call...",91723,(626) 915-5300,Covina,Elim Community Pantry,https://www.foodpantries.org/gallery/no_photo_6.jpg,550 South Hollenbeck Avenue,https://schema.org
PostalAddress,CA,LocalBusiness,"Hours: Tuesday 10:00am to 1:00pm Get there early to get in line. Canned food and other groceries. For more information, please call.",90706,(562) 867-2337,Bellflower,St Bernard Church Food Pantry,https://www.foodpantries.org/gallery/no_photo_8.jpg,9627 Beach St,https://schema.org
PostalAddress,CA,LocalBusiness,"For more information, please call.",90706,(562) 866-1812,Bellflower,Bethany Church,https://www.foodpantries.org/gallery/38349_bethany-church_pgy.png,17054 Bixby Ave,https://schema.org
PostalAddress,CA,LocalBusiness,Food Hours: Every 2nd and 4th Wednesday 7:45pm  Clothing Distribution: Hours:Every 1st and 3rd Wednesday 10:00am - 12:00pm,90706,(562) 866-8283,Bellflower,The Lord's Church,https://www.foodpantries.org/gallery/38350_the-lords-church_wqf.png,9740 Flower Street,https://schema.org
PostalAddress,CA,LocalBusiness,"Food Distribution:  Bread, soft drinks, Misc food available.Hours:8:30pm - 9:00pmAfter Bible study at 7:15 PM First come , first served.   Back of the Church. For more information, please call. ",90706,(562) 925-5093,Bellflower,Hosanna Chapel of Bellflower,https://www.foodpantries.org/gallery/38351_hosanna-chapel-of-bellflower_wuy.jpg,16705 Bellflower Blvd,https://schema.org
PostalAddress,CA,LocalBusiness,"Food Distribution Hours:Every Thursday 8:00am to 10:00amCanned foods, bread and meats.",90706,(562) 920-7796,Bellflower,St Dominic Savio Church,https://www.foodpantries.org/gallery/no_photo_3.jpg,13400 Bellflower BLVD,https://schema.org
PostalAddress,CA,LocalBusiness,"Hours: Thursday10:00amFor more information, please call.",90706,(562) 925-4888,Bellflower,Bellwood Baptist Church,https://www.foodpantries.org/gallery/no_photo_8.jpg,17614 Virginia Ave,https://schema.org
PostalAddress,CA,LocalBusiness,"Hours: The 2nd and 4th Thursday 4:00am - 6:00pmFor more information, please call.",90706,(562) 866-6668,Bellflower,St George's Church,https://www.foodpantries.org/gallery/no_photo_8.jpg,15725 Cornuta Ave,https://schema.org
PostalAddress,CA,LocalBusiness,"Hours: Friday 9:00am - 10:30am  Sign in at 8:am Canned goods, produce and groceries",90706,(562) 867-0714,Bellflower,Holy Redeemer Church,https://www.foodpantries.org/gallery/38356_holy-redeemer-church_gaf.jpg,14515 Blain ave,https://schema.org
PostalAddress,CA,LocalBusiness,"Hours: Friday 3:00pm - 4:00pm Groceries, dry, canned goods, bread, frozen meat. For more information, please call.",90706,(562) 804-4778,Bellflower,Rosewood Church,https://www.foodpantries.org/gallery/38357_rosewood-church_wqg.jpg,10115 Rose St,https://schema.org
PostalAddress,CA,LocalBusiness,"Food Distribution Hours:  Last Saturday of every month12:00pm to 2:00pmFood available and lunch until gone For more information, please call. ",90706,(562) 644-2343,Bellflower,Warrior Center - Palm Street Park,https://www.foodpantries.org/gallery/38362_warrior-center-palm-street-park_pvz.png,14515 Blaine Ave.,https://schema.org
PostalAddress,CA,LocalBusiness,"Hours:Tuesday, Wednesday, Thursday 9:00am - 12:00pm; 1:30pm - 5:00pm Closed on Holidays BTAC provides clients a variety of programs and services including: Groceries from BTAC's Food Pantry. Daily sack lunches for the homeless. Assistance with utility bills. Transportation assistance. ID/License replacement program. Limited medical assistance. Limited emergency shelter, via a voucher program with cooperating businesses in the area. Shower facilities for the homeless. Laundry facilities for the homeles",91506,(818) 848-2822,Burbank,Burbank Temporary Aid Center,https://www.foodpantries.org/gallery/36348_burbank-temporary-aid-center_tti.jpg,1304 W Burbank Blvd,https://schema.org
PostalAddress,CA,LocalBusiness,"Our Food Security Program helps some 4,000 no and low income residents of the Inland Valley access high-quality, healthy food resources each month with 5 program centers located in Pomona, Ontario, San Dimas, Claremont and South Pomona plus 2 once/month food distributions in Upland and Chino.What We DoAt our sites,clients are provided with a 4-5 day supply of food every 30 days (homeless every two weeks). Families may also receive fresh produce through our partnership with Amy's Farm (a working farm that donates a sizeable sha",91711,(909) 622-3806,Claremont,Claremont Joslyn Senior Center,https://www.foodpantries.org/gallery/no_photo_9.jpg,660 N. Mountain Ave.,https://schema.org
PostalAddress,CA,LocalBusiness,"Hours:Friday4:00pmFor more information, please call. ...",,(909) 593-7070,Pomona,New Life Community,https://www.foodpantries.org/gallery/no_photo_4.jpg,275 E Foothill Blvd,https://schema.org
PostalAddress,CA,LocalBusiness, The Human Services Program is devoted to providing programs and/or services that support individuals and families in resolving problems and improving their quality of life.  Some of our services include:      Uplifting the community by providing hunger relief through our bi-monthly Feeding our Friends distribution of food to needy families.     Implementing programs and/or services that satisfy gaps of need for the under-served.     Partnering with community leaders and organizations through the annual Christmas Collabo...,91767,(909) 621-5369,Pomona,CUSH Foundation,https://www.foodpantries.org/gallery/no_photo_8.jpg,2343 N. San Antonio Avenue,https://schema.org
PostalAddress,CA,LocalBusiness,"Monthly assistance food emergency program. Provides monthly assistance to homeless individuals or families and once-every-two-months assistance to those with an address. Participants are given a box of food generally including meat, bread, eggs, and miscellaneous foodstuffs, depending on availability. Bus vouchers are also available.Hours: Mondays through Fridays 8am to 12 noon, 1pm to 4pm. ...",91767,(909) 623-1579,Pomona,Pomona Salvation Army Emergency Food,https://www.foodpantries.org/gallery/no_photo_10.jpg,490 E. La Verne Ave.,https://schema.org
PostalAddress,CA,LocalBusiness,"Foothill Family Shelter offers incredible services for homeless and low-income families. There are several ways to get involved; we have many exciting volunteer opportunities and we are always in need of canned food, diapers, wipes and hygiene products. Serves: The cities of Upland, Rancho Cucamonga, Montclair,  and Ontario in San Bernardino County and Pomona and Claremont in Los  Angeles County. HoursTuesday - Friday 9:00am - 5:00pm (closed 12-1 for lunch)For more information, please ca...",91786,(909) 920-0453,Upland,Foothill Family Shelter,https://www.foodpantries.org/gallery/no_photo_10.jpg,"1501 W. 9 Street, ",https://schema.org
PostalAddress,CA,LocalBusiness,"Hours:Monday - Thurday9:00am - 3:00pmEmergency Food Assistance; location in Ontario, Pomona, Claremont and San DimasEmergency Housing Program. For more information, please call. ...",91768,(909) 622-3806,Pomona,Inland Valley Hope Partners,https://www.foodpantries.org/gallery/no_photo_2.jpg,1753 N. Park Ave.,https://schema.org
PostalAddress,CA,LocalBusiness,"Provides food for Low income, Senior, Disabled and the Homeless. Hours: Monday 4:00pm to 7:00pm Thursday 10:00pm to 1:00pmRequirements: Please bring a valid ID and a recent piece of mail with current address.Make Donation Checks Payable toACTION Food Pantryand mail to: &nbsp;&nbsp;&nbsp;&nbsp; 17880 E. Covina Blvd.&nbsp;&nbsp;&nbsp;&nbsp; Covina, Ca. 91722&nbsp; For more information, please call. ",91722,(626) 319-0554,Covina,Action Food Pantry - Grace Lutheran Church,https://www.foodpantries.org/gallery/36109_action-food-pantry_fvi.jpg,17880 E. Covina Blvd.,https://schema.org
PostalAddress,CA,LocalBusiness,"Distribution Hours:Saturday 7:00am - 9:00am First come, first serve basis. No ID, proof of income, utility bill required. We are on the corner of Hollenbeck Avenue and Rowland Street. Ample parking available behind the building. Accessible driveway is on the north side of Rowland Street. Gate will be open behind the building. Clients receive an assorted box of groceries.  Donations are welcome 24/7, 365 days a year. Hablamos EspaÃ±ol.Hablamos EspaÃ±ol.For more information, please call",91723,(626) 915-5300,Covina,Elim Community Pantry,https://www.foodpantries.org/gallery/37425_elim-community-pantry_wln.jpg,550 South Hollenbeck Avenue,https://schema.org
PostalAddress,CA,LocalBusiness,"The people who utilize our services come from all walks of life. We all experience difficult times in our lives and sometimes we need a helping hand. More than 50% of the people we serve are experiencing a very temporary situation and just need a little help to get them through a rough time. Our volunteers genuinely love helping people and go out of their way to try to meet the needs of everyone we serve. The most rewarding part is the smiles and expressions of gratitude from those we serve.Hours:Wednesday, Thursday5:00pm - ...",91740,(626) 852-7630,Glendora,Shepherd's Pantry,https://www.foodpantries.org/gallery/no_photo_10.jpg,657 E. Arrow Highway,https://schema.org
PostalAddress,CA,LocalBusiness,"We are open to the public  for food and clothing service.Hours:Wednesday and Thursday5:00pm - 7:00pm You must have a residence address in  one of the ten (10) cities we serve: Azusa, Baldwin Park, Claremont,  Covina, Glendora, Hacienda Heights, La Puente, La Verne, San Dimas &  West Covina. Please bring proof of residence address on your first  visit, such as a driver's license or utility bill. There is no charge  for our services and you may return once per month for up to six months:  extended programs are...",91740,(626) 852-7630,Glendora,Shepherd's Pantry Glendora,https://www.foodpantries.org/gallery/no_photo_9.jpg,657 E. Arrow Highway,https://schema.org
PostalAddress,CA,LocalBusiness,"Our Food Security Program helps some 4,000 no and low income residents of the Inland Valley access high-quality, healthy food resources each month with 5 program centers located in Pomona, Ontario, San Dimas, Claremont and South Pomona plus 2 once/month food distributions in Upland and Chino.What We DoAt our sites,clients are provided with a 4-5 day supply of food every 30 days (homeless every two weeks). Families may also receive fresh produce through our partnership with Amy's Farm (a working farm that donates a sizeable...",91773,(909) 599-1103,San Dimas,San Dimas Center,https://www.foodpantries.org/gallery/no_photo_2.jpg,110 E. Third Street,https://schema.org
PostalAddress,CA,LocalBusiness,Hours:1st &amp; 3rd Friday of the month 1:00pm - 3:00pm 1st &amp; 3rd Sunday of the month 1:00pm - 3:00pm Bread Distribution HourThursday 10:00am - 1:00pm Serves: La Puente residents and all surrounding cities...,91746,(626) 917-8814,La Puente,La Puente Church of Christ,https://www.foodpantries.org/gallery/no_photo_3.jpg,15124 Amar Rd,https://schema.org
PostalAddress,CA,LocalBusiness,"Food Pantry. Provide people with food assistance. Each person who comes seeking help sees a counselor who assesses their needs and arranges for their food allotment, as well as offering access to our extensive referral program. Pantry Hours:Tuesday5:00pm - 7:00pmHomeless Food DistributionMonday, Wednesday, Friday11:00am - 12:00pmFor more information, please call....",91706,(626) 305-0392,Irwindale,Shepherd's Pantry - Irwindale Distribution Center,https://www.foodpantries.org/gallery/no_photo_1.jpg,1418 Arrow Highway,https://schema.org
PostalAddress,CA,LocalBusiness,"Food pantry which provides groceries to the needy.Hours:Mondays, Wednesdays and Fridays 9:00am - 11:45am.",90232,310-838-2477,Culver City,St. Augustine's S.A.V.E.S. Food Pantry,https://www.foodpantries.org/gallery/1951_ca-st_augustines_saves_food_pantry_nlt.png,3850 Jasmine Ave.,https://schema.org
PostalAddress,CA,LocalBusiness,"Food pantry providing groceries to the needy. Hours:Tuesday and Thursday 9:00am - 12:00pm and 1:00pm - 3:00pmFor more information, please call. ...",90066,(310) 390-5034,Los Angeles,St. Gerard's Social Service Food Pantry,https://www.foodpantries.org/gallery/no_photo_6.jpg,4439 Inglewood Blvd.,https://schema.org
PostalAddress,CA,LocalBusiness,Church food pantry for the needy in Los Angeles. Hours:Sunday 12:30pm - 2:00pm....,90025,310-473-3135,Los Angeles,Faith Tabernacle Church Pantry,https://www.foodpantries.org/gallery/no_photo_9.jpg,2147 Purdue Ave.,https://schema.org
PostalAddress,CA,LocalBusiness,"The WEST pantry is located on the south side of Pico Blvd. one-half block west of Robertson Ave. Metered street parking is available on Pico Blvd. and surrounding streets as well as in a parking lot located just a few doors west of the building.  Pantry Hours: Monday - Thursday 10:00am - 1:30pmSunday9:00am - 12:00pmFor more information, please call.   ...",90035,(310) 288-0286,Los Angeles,SOVA West Food Pantry,https://www.foodpantries.org/gallery/no_photo_10.jpg,8846 W. Pico Blvd,https://schema.org
PostalAddress,CA,LocalBusiness,"For more information, please call....",90291,310 822-5410,Oakland,California Food and Justice Coalition,https://www.foodpantries.org/gallery/no_photo_6.jpg,398 60th St.,https://schema.org
PostalAddress,CA,LocalBusiness,"Food pantry which provides groceries in InglewoodFood Pantry open for those in need: 10am to Noon, Tue and Fri. Donations can be dropped off between 9am to Noon, Tue and Fri....",90302,310-677-5597,Ingelwood,Food Pantry LAX,https://www.foodpantries.org/gallery/no_photo_8.jpg,355 E. Beach St.,https://schema.org
PostalAddress,CA,LocalBusiness,"Food Distribution Hour:Saturday9:00am to 12:00pmFor more information, please call.",90241,(562) 862-2438,Downey,Food Help,https://www.foodpantries.org/gallery/38364_food-help_egn.png,10909 New Street,https://schema.org
PostalAddress,CA,LocalBusiness,"Food Distribution Hours:Every Thursday 8:00am to 10:00amCanned foods, bread and meats....",90706,(562) 920-7796,Bellflower,St Dominic Savio Church,https://www.foodpantries.org/gallery/no_photo_9.jpg,13400 Bellflower BLVD,https://schema.org
PostalAddress,CA,LocalBusiness,"Food Distribution Hours:  Last Saturday of every month12:00pm to 2:00pmFood available and lunch until gone For more information, please call. ...",90706,(562) 644-2343,Bellflower,Warrior Center - Palm Street Park,https://www.foodpantries.org/gallery/no_photo_5.jpg,14515 Blaine Ave.,https://schema.org
PostalAddress,CA,LocalBusiness,"Hours: Friday 9:00am - 10:30am  Sign in at 8:am Canned goods, produce and groceries...",90706,(562) 867-0714,Bellflower,Holy Redeemer Church,https://www.foodpantries.org/gallery/no_photo_6.jpg,14515 Blain ave,https://schema.org
PostalAddress,CA,LocalBusiness,"Hours: The 2nd and 4th Thursday 4:00am - 6:00pmFor more information, please call....",90706,(562) 866-6668,Bellflower,St George's Church,https://www.foodpantries.org/gallery/no_photo_4.jpg,15725 Cornuta Ave,https://schema.org
PostalAddress,CA,LocalBusiness,Food Hours:Last names A-K 1st and 4th Friday of the month. Last names L-V 2nd and 4th Friday of the month  Celebrate recovery at 6:pm...,90723,(562) 533-6820,Paramount,Emmanual Church,https://www.foodpantries.org/gallery/no_photo_9.jpg,15941 Virginia Ave,https://schema.org
PostalAddress,CA,LocalBusiness,"Distributes groceries.Hours:Tuesday and Thursday (except holidays)For more information, please call.",91731,(626) 579-2190,El Monte,Our Saviour Center Food Pantry,https://www.foodpantries.org/gallery/no_photo_6.jpg,4368 Santa Anita Ave,https://schema.org
PostalAddress,CA,LocalBusiness,"Hours:Tuesday and Thursday 10:00am to 1:00pmUnless it is a holiday.  Requirements: Picture ID requested.For more information, please call. ",91731,(626) 579-2190,El Monte,Our Saviour Center Food Pantry,https://www.foodpantries.org/gallery/35424_our-saviour-center_fuh.png,4368 Santa Anita Ave.,https://schema.org
PostalAddress,CA,LocalBusiness,"The Los Angeles Regional Food Bank provides food to low-income seniors (60+). Requirements: Income verification and picture identification are required to receive the food.Food Pantry Hours:4th Monday of every month9:00am - 11:00amFor more information, please call. ...",91733,(626) 575-5431,South El Monte,San Gabriel Valley Service Center ,https://www.foodpantries.org/gallery/no_photo_9.jpg,1441 Santa Anita Avenue,https://schema.org
PostalAddress,CA,LocalBusiness,"Hours:Friday5:00pm - 7:00pmFor more information, please call. ...",91706,(626) 671-0090,Baldwin Park,Shepherd's Pantry - Baldwin Park,https://www.foodpantries.org/gallery/no_photo_3.jpg,13020 Francissquito Ave,https://schema.org
PostalAddress,CA,LocalBusiness,"Regional Native American Food Bank serving all communities throughout  Southern California. We distribute 100 lb family pack program for  agencies support, aide with food distributions to local pantries,  homeless outreaches, support local government with emergency food  source, youth organizations,  and veteran support. HoursMonday - Friday8:00am - 4:00pmSaturday 8:00am - 2:00pmOpen most holidays.For more information, please call. ...",91733,(626) 442-4273,South El Monte,God Provides Food Bank - Native American Food Bank,https://www.foodpantries.org/gallery/no_photo_8.jpg,2453 Troy Ave.,https://schema.org
PostalAddress,CA,LocalBusiness,"Food Pantry. Provide people with food assistance. Each person who comes seeking help sees a counselor who assesses their needs and arranges for their food allotment, as well as offering access to our extensive referral program. Pantry Hours:Tuesday5:00pm - 7:00pmHomeless Food DistributionMonday, Wednesday, Friday11:00am - 12:00pmFor more information, please call....",91706,(626) 305-0392,Irwindale,Shepherd's Pantry - Irwindale Distribution Center,https://www.foodpantries.org/gallery/no_photo_7.jpg,1418 Arrow Highway,https://schema.org
PostalAddress,CA,LocalBusiness,Hours:1st &amp; 3rd Friday of the month 1:00pm - 3:00pm 1st &amp; 3rd Sunday of the month 1:00pm - 3:00pm Bread Distribution HourThursday 10:00am - 1:00pm Serves: La Puente residents and all surrounding cities...,91746,(626) 917-8814,La Puente,La Puente Church of Christ,https://www.foodpantries.org/gallery/no_photo_4.jpg,15124 Amar Rd,https://schema.org
PostalAddress,CA,LocalBusiness,"Clients must live in certain areas to get services (Glendale, Burbank, Eagle Rock, Highland Park, Atwater, and part of Sunland) call and ask if they serve your zip code. Provides immigration assistance and food pantry.Requirements: Bring picture ID, SS card, proof of address, children's birth certificates, and proof of income.Hours:Monday - Friday10:00am - 12:00pm; 1:15pm - 3:30pmFor more information, please call. ",91204,(213) 318-5716,Glendale,Catholic Charities Immigration Services - Glendale,https://www.foodpantries.org/gallery/38182_catholic_cha-Glenda-91204_qso.png,4322 San Fernando Road,https://schema.org
PostalAddress,CA,LocalBusiness,"Hours:Tuesday, Wednesday, Thursday 9:00am - 12:00pm; 1:30pm - 5:00pm Closed on Holidays BTAC provides clients a variety of programs and services including: Groceries from BTAC's Food Pantry. Daily sack lunches for the homeless. Assistance with utility bills. Transportation assistance. ID/License replacement program. Limited medical assistance. Limited emergency shelter, via a voucher program with cooperating businesses in the area. Shower facilities for the homeless. Laundry facilities for the homeles...",91506,(818) 848-2822,Burbank,Burbank Temporary Aid Center,https://www.foodpantries.org/gallery/no_photo_5.jpg,1304 W Burbank Blvd,https://schema.org
PostalAddress,CA,LocalBusiness,"We are a program that cooks and delivers free meals to the homes of persons who are home bound with life-threatening illness, We depend on volunteers for growing produce in our gardens, cooking and packing our meals, as well as office projects and special events; volunteers must make an appointment at the phone number listed.Office Hours:Monday8:00am - 4:00pmSunday8:00am - 12:00pmFor more information, please call. ...",90038,(323) 845-1800,Los Angeles,Project Angel Food,https://www.foodpantries.org/gallery/no_photo_7.jpg,922 Vine Street,https://schema.org
PostalAddress,CA,LocalBusiness,"Community Distribution Center (CDC) is an Emergency Feeding Organization (EFO) providing hunger relief to families living in poverty in the San Fernando Valley. CDC solicits and distributes more than 3 million pounds of food and non-food items annually impacting nearly18,000 people. CDC operates out of a large facility (former grocery store) located in Sun Valley, CA -we are open six days a week and provides one shopping cart full of approximately 200 pounds of food per visit, providing sustenance for a family of seven for a week.  Currently...",91352,(818) 759-0616,Sun Valley,Community Distribution Center,https://www.foodpantries.org/gallery/no_photo_2.jpg,11350 Saticoy Street,https://schema.org
PostalAddress,CA,LocalBusiness,"Hours:Monday - Friday9:00am - 1:00pmPLEASE NOTE THAT THE ENTRANCE IS ON THE TROOST SIDE OF THE PARKING LOT ONLYFor more information, please call....",91604,(818) 980-1657,Studio City,North Hollywood Interfaith Food Pantry,https://www.foodpantries.org/gallery/no_photo_1.jpg,4390 Colfax Avenue,https://schema.org
PostalAddress,CA,LocalBusiness,"We are open to the public  for food and clothing service.Hours:Wednesday and Thursday5:00pm - 7:00pm You must have a residence address in  one of the ten (10) cities we serve: Azusa, Baldwin Park, Claremont,  Covina, Glendora, Hacienda Heights, La Puente, La Verne, San Dimas &  West Covina. Please bring proof of residence address on your first  visit, such as a driver's license or utility bill. There is no charge  for our services and you may return once per month for up to six months:  extended programs are",91740,(626) 852-7630,Glendora,Shepherd's Pantry Glendora,https://www.foodpantries.org/gallery/34186_ca_91740_shepherds-pantry-glendora_yve.jpg,657 E. Arrow Highway,https://schema.org
PostalAddress,CA,LocalBusiness,"The people who utilize our services come from all walks of life. We all experience difficult times in our lives and sometimes we need a helping hand. More than 50% of the people we serve are experiencing a very temporary situation and just need a little help to get them through a rough time. Our volunteers genuinely love helping people and go out of their way to try to meet the needs of everyone we serve. The most rewarding part is the smiles and expressions of gratitude from those we serve.Hours:Wednesday, Thursday5:00pm - ",91740,(626) 852-7630,Glendora,Shepherd's Pantry,https://www.foodpantries.org/gallery/39046_ca_91740_shepherds-pantry_nfi.jpg,657 E. Arrow Highway,https://schema.org
PostalAddress,CA,LocalBusiness,"Our Food Security Program helps some 4,000 no and low income residents of the Inland Valley access high-quality, healthy food resources each month with 5 program centers located in Pomona, Ontario, San Dimas, Claremont and South Pomona plus 2 once/month food distributions in Upland and Chino.What We DoAt our sites,clients are provided with a 4-5 day supply of food every 30 days (homeless every two weeks). Families may also receive fresh produce through our partnership with Amy's Farm (a working farm that donates a sizeable...",91773,(909) 599-1103,San Dimas,San Dimas Center,https://www.foodpantries.org/gallery/no_photo_1.jpg,110 E. Third Street,https://schema.org
